c3,sc3
소년,곧 있으면 저녁 시간이야. 충분히 본 거 같으니까 돌아갈까?
  ,그래. 그러자
  ,우리는 저녁을 먹고 차를 마시며 오늘 발견한 증거들에 대해 얘기를 나눴다.
  ,나는 증거로 수집해온 시계와 스티커를 주머니에서 조심스럽게 꺼냈다.
  ,아마도 사건 당시 어딘가에 걸려서 시계 줄이 끊어진 모양이야. 그때 바닥에 부딪히면서 고장이 난 거지.
  ,시계는 4시 11분을 가리키고 있다.
  ,시계는 바닥에 떨어짐과 동시에 고장이 나면서 멈췄을 거야.
  ,그렇다면 범인은 이 시각에 아직 별장에 있었던 거겠지…
소년,4시 11분 전후가 범행 시각이라고 봐도 괜찮을까?
  ,그렇게 생각해도 될 것 같아.
  ,그리고 나 이 스티커에 대해서는 할 얘기가 있어.
  ,나는 다이어리에서 사진 하나를 빼왔다.
  ,이 스티커는 내가 얼마 전 참여한 행사에서 스텝들이 옷에 붙여야 했던 스티커야.
  ,이건 행사 끝나고 찍은 기념사진이고.
  ,사진 찍을 때 빠진 사람은 없었어.
소년,이 행사 얼마나 자주 열려?
  ,이번이 처음이었어.
소년,다들 오른쪽 가슴에 스티커를 붙이고 있네. 그렇다면 용의자는 6명…
  ,아니. 5명이야.
소년,응? 그치만…
  ,이 스티커와 사람들이 입고 있는 옷을 봐봐.
소년,아...! 여기 중간에 니트를 입고 있는 사람이라면 스티커에 털실이 조금이라도 묻었겠구나!
  ,맞아. 저런 옷이라면 스티커 뒷면이 이렇게 먼지뿐일 리가 없지.
  ,그러니까 용의자는 5명이야.
  ,소년과 아이는 잠시 내가 대단하다는 듯 쳐다봤다.
  ,별 거 아니야. 음...직업병 같은 거지.
아이,어떤 직업이요?
  ,말하기 부끄럽지만 나 추리소설을 쓰고 있어.
소년,작가였구나!
소년,왠지 별장을 탐색할 때마다 예리하다 생각했어. 대단하다!
  ,칭찬에 약한 나는 그런 소년의 말을 애써 무시하며 말을 이어나갔다.
  ,일단 여기 있는 사람들에 대해 내가 아는대로 정리해볼게. 한번 읽어봐.
소년,꽤 자세하네.
  ,응. 개인적으로 친분이 있는 사람도 있고. 그렇지 않더라도 우리 마을은 작아서 보통 다 안면이 있는 사이거든.
소년,그건 그나마 다행이네. 모르는 사람한테 이것 저것 물어볼 수는 없으니까.
  ,그치...그래서 말인데. 내일은 A를 먼저 만나러 가볼까 해. 친구...거든.
소년,아… 그게 마음이 편하겠다. 그치?
  ,응…
소년,좋아. 얘기해보고 우리한테 전달해줘.
  ,그래 알겠어.
  ,나는 조용히 사진을 바라보는 아이의 머리를 조심스럽게 쓰다듬었다.
  ,아이의 묘한 긴장이 조금 누그러지는 게 느껴졌다.
  ,우리는 어제 밤처럼 나란히 누워 쓸데없는 이야기를 나누다가 하나 둘 잠에 들었다.
