c3,sc3
나,"“어서와, 여기가 거실이고 저기가 주방... 저쪽이 침실이야.”"
소년,“초대해줘서 고마워. 그 별장에서는 하루도 더 묵기 싫었거든.”
나,“아니야. 나도 네가 있는 편이 더 안심 돼.”
나,“그럼 지금부터 저녁 만들테니까 그동안 거실에서 티비라도 보고 있어.”
나,‘나는 주방으로 간 뒤 재료 손질을 위해 칼을 뽑아 들었다.’
나,“방금...뭐였지?”
나,‘살인이 벌어진 캐비닛 앞에 섰을 때처럼 소름끼치면서도 익숙한 기분이 나를 감쌌다.’
나,‘그때 거실 쪽에서 소년과 아이의 웃음소리가 들렸고 나는 겨우 그 꺼림칙한 기분에서 벗어날 수 있었다.’
나,‘우리는 저녁을 먹고 잠에 들기 위해 침대에 나란히 누웠다.’
나,‘나는 나와 소년 사이에 있는 아이를 보자 아이를 정말 도와주고 싶다는 생각이 듦과 동시에 이유 모를 불안감을 느꼈다.’
나,"‘하지만 곤히 잠든 소년과 아이를 보자 다시 마음이 편안해졌고, 나도 이내 잠이 들었다.’"
나,‘날이 밝았고 우리는 다시 별장으로 향했다.’
나,“어제 놓친 게 있을 수도 있으니 더 자세히 둘러보자.”
