c6,sc6
  ,  
  ,한참을 뒤척이다 잠든 나는 늦은 아침이 되어서야 몸을 일으켰다.
  ,거실로 나가자 이안과 노아가 아침을 먹고 있었다.
노아,어? 누나 일어났어요?
이안,몸은 좀 어때? 더 안 자도 되겠어?
  ,응. 이제 괜찮아. 그보다 어제… 
  ,나는 어제 아비게일 부인과 올리비아 부인을 만난 이야기를 해줬다.
  ,우리는 그들의 알리바이에 대한 더 많은 확인이 필요하다는 결론에 이르렀다.
  ,우선 아비게일 부인께서 어머니 생신을 위해 예약했다던 그 레스토랑에 전화를 해볼까?
이안,응. 괜찮은 생각인 것 같아. 보통 예약 받을 때 어딘가에 기록해두는 편이니까. 
  ,나는 레스토랑의 전화번호를 찾기 위해 전화부를 뒤적거렸다.
  ,(그런데 그 레스토랑 이름이 뭐였지?)
  ,  
,
점원,여보세요. ‘비스트로수작’입니다.
  ,안녕하세요. 제가 물어볼 게 있어서 연락드렸는데요. 
  ,혹시 10월 23일에 아비게일이라는 이름으로 예약이 있었나요?
점원,음 잠시만 기다리세요…
점원,확인해보니 그 날 예약이 있었네요.
  ,아 그렇군요. 감사합니다.
  ,나는 점원이 더 많은 걸 묻기 전에 전화를 끊어버렸다.
,
  ,그런 이름의 가게는 없는데…
이안,거짓말을 한 걸까?
  ,그런 사람으로는 안 보였는데… 좀 더 주시해봐야 할 거 같아.
,
이안,그럼 이제 올리비아 부인께서 말한 윈저드 산책로로 가볼까? 
이안,언제부터 공사 중이었는지 알아봐야 할 거 같아. 
  ,우리는 버스를 타고 윈저드 산책로로 갔다.
  ,역시 내가 잘못 본 게 아니었어.
  ,나는 공사 시작 날짜를 알아내기 위해 공사장을 막 나오고 있는 인부에게 다가갔다. 
  ,저기 일하시는 중에 죄송하지만 잠깐 물어볼 게 있어서요.
인부,응? 무슨 일이야?
이안,공사 시작 날짜를 알 수 있을까요? 
이안,정확히 말해서는 언제부터 통행이 금지가 되었는지요!
인부,음…보자… 10월 25일부터였지 아마? 
  ,우리는 잠깐 눈빛을 교환한 뒤 감사하다는 인사와 함께 그 곳을 떠났다.
이안,그럼 이 정도면 된 건가?
  ,음…잠시만…이것만으로는 좀 부족한데…
이안,흠…일단 점심 시간이기도 하고 뭘 좀 먹으면서 생각해볼까?
이안,뭐 먹고 싶은 거 있어?
노아,케이크…
이안,케이크는 밥이 아닌데…흠 그럼 케이크는 디저트로 먹을까? 
이안,주변에 케이크집이…
  ,아…맞아! 케이크!
이안,응? 먹고 싶다고?
  ,아니. 올리비아 부인께서 산책 후에 새로 생긴 케이크 집에 갔다고 했어. 
  ,거기를 한 번 가보자.
이안,그래! 
  ,정말 있네 케이크 집. 그리고 밖의 외형이나 이벤트 간판만 봐도 생긴 지 얼마 안됐다는 걸 알 수 있어.
가게 주인,어서오세요.
이안,어떤 걸로 먹을래?
노아,초코…
이안,가토 쇼콜라로 하나 주세요. 
가게 주인,네. 가토 쇼콜라 한 조각으로 드릴게요. 
  ,혹시 이 가게 부인 혼자 운영하시나요?
가게 주인,아뇨. 케이크는 저희 남편이 만들고 저는 카운터를 본답니다.
  ,알바생은 안 쓰시나요?
가게 주인,아직 가게를 연 지 얼마 안돼서… 바빠지면 쓸 지 모르겠지만 아직은 혼자서도 충분해서요.
  ,그럼 혹시 10월 23일에 나이가 좀 있으신 부인 한 분이 가토 쇼콜라를 사가지 않았나요?
가게 주인,나이가 좀 있으신 부인이라… 
가게 주인,제가 기억력이 좋긴 하지만 그 말만으로는 대답을 하기가 어렵네요. 
가게 주인,외형이나 인상 착의라도 알려주시겠어요?
  ,(올리비아 부인이 그때 어떤 옷을 입고 있었지?)
,
  ,('스카프와 블라우스 바지' 정답 선택 시)
가게 주인,아 기억나요! 특이한 문양의 스카프가 아주 인상적인 분이셨죠. 
가게 주인,그때 가토 쇼콜라를 드시고 너무 행복해하셔서 기분이 좋았어요.
,
  ,(오답 선택 시)
가게 주인,그런 사람은 온 기억이 없네요.
  ,그렇군요. 감사합니다. 안녕히 계세요.
  ,우리는 그 대화를 끝으로 케이크 집을 나왔다.
이안,어떤 확신을 할 수는 없는 상황이네.
  ,그러게. 일단 집으로 가자. 
,
  ,(공통 진행)
  ,우리는 그 대화를 끝으로 집으로 돌아가 점심을 먹고 디저트로 가토 쇼콜라를 먹었다.
