search1,search2
  ,(시스템 : 방 안의 물건을 선택하면 이를 주제로 대화가 가능합니다) 팝업
엠버,아 이거? 도서관 행사한 날 집에 같이 못 갔잖아? 그날 본 연극이야.
  ,이 포스터 첫 공연 날만 주는 건데 줄 서서 진짜 겨우 받은 거야.
  ,연극 정말 최고였어. 남자 주인공이...
,
엠버,졸업식 날 찍은 사진이야.
  ,그렇게 오래되지도 않았는데 저 때의 나는 왜 이렇게 어려보일까? 머리스타일 때문인가.
나,나도 가끔 그때 사진들을 보면 그런 생각을 하곤 해.
,
나,못 보던 인형인데 네 꺼야?
엠버,아 이거? 옛날에 내가 가지고 놀던 건데 방 정리하다가 나와서 사촌동생 주려고.
,
  ,가지런히 정돈되어 있는 책상이다. 딱히 특별한 점은 없는 것 같다.
,
  ,조금 어질러진 침대다. 특별한 점은 없다.
,
  ,(시스템: 꽃집 안의 물건을 선택하면 이를 주제로 대화가 가능합니다.) 팝업
  ,평범한 카운터다. 특별한 점은 없다.
,
  ,노란색 꽃이 아름답게 피어있는 메리골드다.
,
  ,내가 가장 좋아하는 향이다. 가까이 가니 향긋한 향이 더 강하게 풍겨온다.
,
  ,붉은색과 분홍색의 장미들이 화려하게 피어있다.
,
나,이건 ‘수국’맞죠?
릴리,네. 맞아요.
나,저희 어머니께서 정말 좋아하시는 꽃이에요.
릴리,그렇다면 다음에 꽃다발을 만들어 드리셔도 좋을 것 같아요. 분명 기뻐하실 거예요.
나,좋은 생각이에요.
,
나,이 꽃의 이름은 뭔가요? 처음 보는 꽃인데 정말 화려하네요.
릴리,그쵸? 이 꽃 이름은 ‘아네모네’예요.
  ,어제 들어온 거라 아직 싱싱해서 더 예쁘죠?
